lens_id,title,abstract,date_published,jurisdiction,cpc_codes
000-166-860-559-251,UNDERWATER BONDING WITH A BIOBASED ADHESIVE,,2024-10-23,EP,C09J189/00; C09J199/00; C09J199/00; C08K3/16; C08K3/34; C08K3/346; C08L1/08; C08L89/00; C08L99/00; C09J11/04; C09J189/00; C09J189/00; C08K3/16; C08K3/26; C08K3/346; C08K5/1345; C08K2003/265; C09J9/00
000-739-665-512-621,BIO-ADHESIVES,"Distiller's Grain (DG) based bio-adhesives consisting of DG biomass, crosslinking agents, and fillers are described as substitutes for formaldehyde based wood glue for making wood panels. Algal bio-adhesives consisting of algal biomass, crosslinking agents, and fillers are described as substitutes for formaldehyde based glue for making wood panels. Processes for preparing such DG based bio- adhesives and algal bio-adhesives are provided, comprising the steps of: combining DG biomass or algal material with a cross-linking agent and inorganic fillers to form a blend; micronisation or homogenisation of the blend to obtain powdery material; and mixing the powdery material with additional water to form a bio-adhesive.",2015-07-16,WO,C09J199/00; B27N3/002; B27N3/02; B27N3/04; C08G18/003; C08G18/4081; C08G18/6446; C08G18/6484; C08G18/73; C08G18/7657; C08K2003/2206; C08L3/02; C08L99/00; C09J103/02; C09J175/04; C09J199/00; B27N3/002; B27N3/02; B27N3/04; C08G18/003; C08G18/4081; C08G18/6446; C08G18/6484; C08G18/73; C08G18/7657; C08J3/20; C08K2003/2206; C08L3/02; C08L99/00; C09J103/02; C09J175/04
005-513-159-664-69X,Bio-based adhesive composition for air laid nonwoven material,"The present invention relates to an environmentally friendly, renewable, compostable and/or biodegradable bio-based adhesive composition. The bio-based composition comprises chitosan, an acid, and a plasticizer. The air laid nonwoven material treated with the bio-based adhesive of the present invention can provide an air laid nonwoven material exhibiting higher elongation (i.e., elongation at break) and strength compared to an air laid nonwoven material treated with a previously obtainable bio-based adhesive.",2023-12-19,CN,C08L5/08; D04H1/587; D04H1/64; D04H1/732; D04H1/425; C09D105/08; C09J105/08; C08J3/18; C08L5/08; D04H1/64; D21H5/2664; C08J2305/08; C08K5/0016; C08K5/053; C09J11/06; C09D7/63; C09D101/28; C09D103/04; C09D105/00; D04H1/26; D04H1/425; D04H1/587; D04H1/64; D04H1/732; D06M2101/06; D10B2401/063; D10B2401/12; D21H19/12; D21H23/32
006-080-601-166-462,ADHESIVE COMPOSITIONS COMPRISING BIO-BASED ADHESIVES AND MIXTURES FOR CURTAIN COATING,,2024-01-03,EP,C09J189/00; C09J197/00; C09J197/005; C09J199/00
008-444-017-471-940,Preparation and application of shaving board bio-based adhesive,"The invention discloses preparation and application of a shaving board bio-based adhesive, and relates to the technical field of adhesives for artificial boards, the shaving board bio-based adhesive specifically comprises the following components: a bio-based acrylate polymer, a polyfunctional isocyanate curing agent, a preservative and a flame retardant; the content of the bio-based acrylate polymer is 70 to 80 parts; the content of the polyfunctional isocyanate curing agent is 10 to 20 parts; and the content of the preservative is 1-5 parts. On the premise that the original factory production process is not changed, the hot-pressing efficiency of the artificial board is improved; meanwhile, the bio-based acrylate polymer is used as a main raw material, a small amount of polyfunctional isocyanate is used as a curing agent, the use amount of conventional isocyanate as an adhesive is reduced, and meanwhile, by designing the film forming temperature of the acrylate polymer and controlling the curing time, the wood shaving aging time can be prolonged, and the adhesive pre-curing degree can be reduced; and the pre-pressed plate blank passes through a conveyor belt transition area of the hot press in a complete form.",2023-06-23,CN,C09J151/02; B27D3/00; B32B7/12; B32B21/02; B32B21/04; C08F251/00; C09J11/06; Y02W30/91
011-671-574-451-828,ADHESIVE COMPOSITIONS COMPRISING BIO-BASED ADHESIVE AND MIXTURES FOR CURTAIN COATING,"The present invention describes novel formaldehyde-free adhesive compositions, adhesive mixtures comprising said adhesive composition (component A) and at least one hardener agent (component B), and adhesive systems wherein the adhesive composition further comprising a thickener agent (component A) and the at least one hardener agent (component B) are isolated one of another. Said adhesive compositions, mixtures and systems may be used for curtain coating of a substrate and, in particular, for plywood manufacturing by curtain coating.The present invention also relates to a process for manufacturing a coated material by applying the adhesive mixture by curtain coating, to coated products, in particular plywood, obtainable or obtained by said process and to coated products, or plywood comprising the adhesive composition or mixture of the invention.",2022-08-24,EP,C09J189/00; C09J197/00; C09J197/005; C09J199/00
017-029-707-096-250,Acid and alkali resistant bio-based adhesive and preparation method thereof,"The invention relates to an acid and alkali resistant bio-based adhesive and a preparation method thereof. Specifically, after carboxyl-terminated hyperbranched polyester is dissolved with water, a certain amount of 1-(3-dimethylaminopropyl)-3-ethylcarbodiimide hydrochloride and N-hydroxysuccinimide are added, stirred and mixed evenly, dopamine is added, dopamine is grafted to the terminal of thecarboxyl-terminated hyperbranched polyester through amidation reaction between carboxyl at the terminal of the hyperbranched polyester and amine groups in the dopamine, tannic acid and a metal salt solution are added, pH value of a reaction system is adjusted to 9-10 by triethylamine, and the acid and alkali resistant bio-based adhesive is obtained after reaction. According to the invention, the water is mainly used as a solvent, the carboxyl-terminated hyperbranched polyester is used as a core, the dopamine is used as a branched chain, the tannic acid is used as a cross-linking agent, and metal ions are used as a cross-linking factor to prepare the bio-based adhesive which is non-toxic and pollution-free, and the bio-based adhesive has higher adhesion strength and acid and alkali resistance, and is simple in preparation method and easy to popularize.",2019-11-05,CN,C08G63/91; C08K2003/168; C09J11/04; C09J11/08; C09J167/00
021-274-445-065-641,BIOBASED ADHESIVE COMPOSITONS,,2022-08-31,EP,C09J101/04; C08B15/005; C08B15/02; C09J103/02; C09J105/00
023-713-289-071-656,BIOBASED ADHESIVE COMPOSITIONS AND METHODS OF MAKING THE SAME,,2024-05-01,EP,C09J123/0853; C09J197/005; C09J5/06; C09J123/0853
025-922-285-034-405,NATURAL ADHESIVE AGENT,"PURPOSE: A natural adhesive agent and a manufacturing method thereof are provided to secure safety and environment-friendliness, and to ensure water resistance, moisture resistance, and anti-insect functions. CONSTITUTION: A method for manufacturing a natural adhesive agent comprises the steps of: pulverizing eggshells to prepare a powder; and mixing lacquer with the manufactured powder, wherein the ratio of the eggshell and lacquer is 1:1 ~ 3:7. The natural adhesive agent facilitates the molding and prevents cracks due to strong adhesive property.",2011-07-11,KR,C09J193/00; A47J43/22; C09J11/04
